0.293056,0.185049,0.158333
0.662146,0.500327,0.483878
0.274101,0.435648,0.635512
0.252478,0.353704,0.207217
0.462718,0.478431,0.730011
0.396078,0.763753,0.769172
0.693464,0.323339,0.080719
0.125790,0.262391,0.639760
0.685866,0.232544,0.327505
0.233878,0.135103,0.389488
0.589134,0.710022,0.274319
0.810240,0.594444,0.138535
0.020316,0.123475,0.459477
0.166503,0.482544,0.236002
0.574374,0.114488,0.127397
0.802206,0.715931,0.145833
0.673502,0.268246,0.615986
0.082026,0.554330,0.758170
0.688344,0.711874,0.735512
0.618491,0.652233,0.695507
0.515196,0.547386,0.597522
0.368328,0.392239,0.454139
0.195016,0.230882,0.271841
0.078050,0.089542,0.108824
