0.067188,0.024436,0.017340
0.403737,0.217951,0.202497
0.057997,0.160731,0.368869
0.048405,0.101627,0.031343
0.183525,0.197516,0.500408
0.130352,0.552708,0.561373
0.446944,0.083416,0.003939
0.010452,0.052685,0.374316
0.436241,0.040393,0.085799
0.040905,0.012231,0.125628
0.312227,0.470758,0.058098
0.629433,0.318453,0.012925
0.000189,0.010034,0.180709
0.019370,0.201271,0.041727
0.295276,0.008497,0.010748
0.615785,0.479421,0.014471
0.419127,0.055306,0.344394
0.004080,0.273080,0.543859
0.439716,0.473463,0.508742
0.347483,0.390559,0.449845
0.232455,0.265611,0.322091
0.111101,0.127588,0.176123
0.027426,0.039761,0.056950
0.003658,0.004948,0.007600
